id;data_evento;nome_canal;info_campanha;id_regiao;tipo_dispositivo;id_audiencia;impressoes;clicks;leads;conversoes;custo;receita;criado_em
14952;2025-09-05;google ads;Leads|Natal - Curso|23414.44;7;Tablet;10;98946;99734;14625;1979;170987.06;1883798.9;2026-06-05 12:47:32.288351
6581;2025-01-30;Meta Ads;Leads|Geração de Lead - Seguro|45408.77;8; celular ;2;45078;904;194;23;3619.79;29158.12;2026-06-05 12:47:19.115642
9565;2025-07-27;Linkedin Ads;Leads|Conhecimento - Consultoria|13785.26;20; computador;19;83406;5308;601;81;37972.49;11736.37;2026-06-05 12:47:23.909527
13991;2025-12-02;google ads;Leads|Conversão - Streaming|36856.91;11;TABLET;8;45823;2025;418;32;12844.5;24853.11;2026-06-05 12:47:30.660653
46423;2025-06-02;Meta Ads;Tráfego|Remarketing - E-commerce|42506.06;17;TABLET;18;83287;852;98;16;4195.48;3948.86;2026-06-05 12:48:21.973258
24871;2025-12-20;Linkedin Ads;Conhecimento|Conhecimento - Curso|41350.96;20; computador;24;26462;818;179;25;6178.6;6620.94;2026-06-05 12:47:47.585351
50661;2025-02-24;META ADS;Leads|Lançamento - Streaming|40234.48;17;CELULAR;14;8115;279;67;14;454.9;9931.96;2026-06-05 12:48:03.748268
20816;2025-09-21; TikTok Ads ;Leads|Geração de Lead - Notebook|29056.97;8;TABLET;2;29099;2207;189;30;16735.19;24410.37;2026-06-05 12:47:41.393405
38100;2025-09-07;Linkedin Ads;Tráfego|Conversão - Smartphone|19676.25;11; celular ;20;94045;7051;971;260;51052.98;353767.08;2026-06-05 12:48:08.310085
18261;2025-03-04;META ADS;Leads|Geração de Lead - Seguro|45408.77;13;TABLET;3;81123;5140;813;140;28295.81;120315.94;2026-06-05 12:47:37.365966
24133;2025-08-23;meta ads;Leads|Conversão - Streaming|36856.91;3;Tablet;22;86963;1349;204;45;9659.14;7045.67;2026-06-05 12:47:46.482305
50549;2025-03-30;Meta Ads;Tráfego|Remarketing - E-commerce|42506.06;8;Celular;3;77251;4173;246;62;32600.11;77277.67;2026-06-05 12:47:48.312271
542;2025-01-09; TikTok Ads ;Conversão|Retenção - Consultoria|24657.03;8;CELULAR;18;27328;1929;266;37;12210.18;16614.69;2026-06-05 12:47:09.540653
17888;2025-01-22; GOOGLE ADS ;Conversão|Carrinho Abandonado - Seguro|49254.33;12; celular ;6;82157;4229;516;91;7379.97;29903.02;2026-06-05 12:47:36.796129
145;2025-02-16;google ads;Conversão|Geração de Lead - Seguro|38516.28;12;CELULAR;8;84826;1735;261;73;4307.92;98223.04;2026-06-05 12:47:08.931297
46670;2025-07-21;Meta Ads;Conversão|Lançamento - Consultoria|19166.8;4;Computador;21;59627;2801;293;18;4728.5;16913.4;2026-06-05 12:48:22.366043
10522;2025-02-09;google ads;Conversão|Retenção - Consultoria|11597.52;12;Tablet;3;57564;1200;157;23;991.05;5480.36;2026-06-05 12:47:25.367539
12359;2025-06-26;email marketing;Conhecimento|Conversão - Seguro|8170.15;19;Celular;11;12503;494;74;18;1513.41;16711.0;2026-06-05 12:47:28.185823
21493;2025-07-17;google ads;Tráfego|Black Friday - Curso|34922.72;9;TABLET;23;90329;3303;266;45;17680.45;28205.89;2026-06-05 12:47:42.416960
31622;2025-04-30; GOOGLE ADS ;Leads|Lançamento - Streaming|40234.48;4;Celular;11;25399;1421;86;8;5863.61;6915.08;2026-06-05 12:47:58.136965
29966;2025-09-03; GOOGLE ADS ;Conversão|Retenção - Streaming|21833.57;3; computador;11;74599;2972;722;151;6120.86;41777.47;2026-06-05 12:47:55.520894
1001;2025-04-03; TikTok Ads ;Conversão|Promoção - Seguro|44497.74;3;Tablet;19;10913;676;62;8;3433.94;10672.43;2026-06-05 12:47:10.243743
19743;2025-01-08;Google Ads;Conversão|Conhecimento - Smartphone|27039.23;18; celular ;13;37968;2565;580;35;16578.37;22657.62;2026-06-05 12:47:39.595252
23228;2025-12-08;email marketing;Leads|Lançamento - Streaming|40234.48;12;Computador;12;56981;623;75;4;3415.5;5529.06;2026-06-05 12:47:45.126525
81;2025-09-23; GOOGLE ADS ;Conhecimento|Carrinho Abandonado - Smartphone|21790.31;11;Computador;11;1045;56;13;3;159.55;2344.81;2026-06-05 12:47:08.833545
4539;2025-08-06;META ADS;Conhecimento|Remarketing - Smartphone|27196.56;1;Celular;22;56591;4426;967;51;7961.96;28175.54;2026-06-05 12:47:15.963597
6400;2025-01-23;Email Marketing;Leads|Geração de Lead - Notebook|29056.97;14; computador;12;5386;131;19;3;749.71;1772.35;2026-06-05 12:47:18.844508
37237;2025-11-19;GoogleAds;Leads|Conhecimento - Consultoria|13785.26;2;Celular;8;61852;3922;594;47;6011.55;62031.07;2026-06-05 12:48:07.030720
19854;2025-04-30;Email Marketing;Tráfego|Lançamento - Curso|14891.77;15;Tablet;13;33441;1323;149;16;3294.43;14327.14;2026-06-05 12:47:39.763311
18160;2025-09-04;META ADS;Leads|Natal - Curso|23414.44;19;Tablet;8;89568;6099;393;57;19589.96;10354.3;2026-06-05 12:47:37.211467
39349;2025-05-11;Google Ads;Leads|Conversão - Streaming|36856.91;9;Celular;17;61889;2230;247;72;9878.37;29680.65;2026-06-05 12:48:10.863451
31197;2025-06-19;Linkedin Ads;Conversão|Promoção - Seguro|44497.74;11;Tablet;8;43284;1447;157;8;9049.96;1963.24;2026-06-05 12:47:57.442885
41888;2025-09-01;meta ads;Leads|Natal - Curso|23414.44;20; celular ;15;33120;371;74;16;1843.29;21731.48;2026-06-05 12:48:14.941110
26885;2025-04-11;GoogleAds;Leads|Conhecimento - Consultoria|13785.26;14; computador;9;27197;1207;109;19;9406.12;4999.17;2026-06-05 12:47:50.647355
5872;2025-07-12; TikTok Ads ;Leads|Promoção - Cartão|27992.3;3;Computador;3;69058;2249;489;58;4888.53;26142.51;2026-06-05 12:47:18.031338
42338;2025-08-17;email marketing;Conhecimento|Geração de Lead - Streaming|19528.65;6; computador;10;49380;1756;340;53;5321.77;19432.66;2026-06-05 12:48:15.630541
41342;2025-07-27;Google Ads;Leads|Geração de Lead - Seguro|45408.77;19;Celular;6;17318;283;37;9;1831.86;12390.82;2026-06-05 12:48:14.103763
31;2025-09-29;Meta Ads;Conhecimento|Geração de Lead - Consultoria|47452.46;9;CELULAR;6;54948;1413;276;61;1350.11;87640.43;2026-06-05 12:47:08.757657
42811;2025-04-25;meta ads;Tráfego|Conversão - Smartphone|19676.25;3; computador;15;16679;271;28;5;470.18;1455.91;2026-06-05 12:48:16.341705
40370;2025-03-11; TikTok Ads ;Tráfego|Lançamento - Curso|14891.77;19;TABLET;12;61656;1641;96;24;3303.91;31469.7;2026-06-05 12:48:12.560999
29009;2025-03-18;Meta Ads;Conhecimento|Lançamento - Notebook|28148.46;13;TABLET;10;12919;345;52;9;1528.19;7771.46;2026-06-05 12:47:54.084623
8403;2025-10-03;email marketing;Leads|Promoção - Curso|38158.69;12;Computador;17;87595;3140;751;143;3186.23;125959.91;2026-06-05 12:47:22.040732
24161;2025-05-16;google ads;Conhecimento|Carrinho Abandonado - Smartphone|21790.31;17; computador;11;92901;6836;896;225;41391.72;183566.77;2026-06-05 12:47:46.530757
10998;2025-11-07;META ADS;Leads|Carrinho Abandonado - Streaming|29039.22;16;CELULAR;4;72993;2375;264;71;15472.4;90832.86;2026-06-05 12:47:26.114493
9036;2025-01-15;Google Ads;Leads|Geração de Lead - Notebook|27658.26;20; celular ;13;97373;5697;1211;251;42090.84;298288.81;2026-06-05 12:47:23.066065
24624;2025-02-27;google ads;Conversão|Lançamento - Consultoria|19166.8;15;TABLET;17;35337;1326;74;16;2863.64;10758.56;2026-06-05 12:47:47.221898
40565;2025-08-16;google ads;Conversão|Remarketing - Smartphone|37693.41;19;Celular;2;1487;93;19;3;379.93;3725.35;2026-06-05 12:48:12.861900
33040;2025-05-03;meta ads;Leads|Lançamento - Streaming|40234.48;16;Tablet;4;16300;394;51;12;735.52;5115.95;2026-06-05 12:48:00.309122
48218;2025-01-07; GOOGLE ADS ;Tráfego|Black Friday - Notebook|16414.42;7;Computador;16;99024;7022;1121;300;54024.87;102206.44;2026-06-05 12:48:24.801687
50810;2025-12-04;meta ads;Conversão|Lançamento - Consultoria|19166.8;20;Computador;11;27950;683;133;13;2307.61;14960.64;2026-06-05 12:48:01.931695
37813;2025-08-17;Email Marketing;Conhecimento|Remarketing - Curso|15951.94;20; celular ;7;47522;2517;274;15;8446.91;1994.59;2026-06-05 12:48:07.885709
3586;2025-07-21;google ads;Conhecimento|Remarketing - Smartphone|27196.56;5;CELULAR;3;3488;267;16;1;1626.67;598.73;2026-06-05 12:47:14.470524
48105;2025-12-20;Email Marketing;Conversão|Retenção - Streaming|21833.57;11;TABLET;12;40438;2830;544;89;7964.98;68132.59;2026-06-05 12:48:24.634803
5497;2025-02-07;meta ads;Conhecimento|Conversão - Notebook|12948.76;2; computador;7;59546;3751;343;20;22558.6;14469.87;2026-06-05 12:47:17.455459
16869;2025-12-12; TikTok Ads ;Conhecimento|Geração de Lead - Consultoria|47452.46;19;Computador;4;24275;1573;119;24;8795.64;34209.27;2026-06-05 12:47:35.254365
30873;2025-01-10;Meta Ads;Conversão|Retenção - Consultoria|24657.03;12;Celular;8;5875;356;55;8;2050.42;7442.14;2026-06-05 12:47:56.956281
22331;2025-03-16; TikTok Ads ;Conversão|Carrinho Abandonado - Seguro|49254.33;19;Celular;22;71811;4229;726;87;32720.18;112786.35;2026-06-05 12:47:43.751132
38022;2025-07-03;meta ads;Conversão|Retenção - E-commerce|49009.36;12;Tablet;4;19128;1122;69;3;2427.14;3306.45;2026-06-05 12:48:08.193717
21094;2025-04-22;Email Marketing;Conhecimento|Black Friday - Cartão|31537.11;12;CELULAR;6;90064;6701;1448;159;22054.88;152767.83;2026-06-05 12:47:41.809746
36887;2025-02-18;google ads;Tráfego|Retenção - Smartphone|46353.04;14;Computador;20;87996;2191;443;109;2081.92;110793.41;2026-06-05 12:48:06.495684
27543;2025-11-10;LinkedIn Ads;Conhecimento|Geração de Lead - Notebook|10896.38;7; celular ;15;14931;475;32;4;1147.18;2140.52;2026-06-05 12:47:51.779440
6586;2025-05-20;email marketing;Conversão|Natal - Seguro|32105.21;10; computador;20;81897;6292;622;124;32689.22;34404.02;2026-06-05 12:47:19.122829
21876;2025-04-14;email marketing;Tráfego|Retenção - Smartphone|46353.04;19;Tablet;20;82129;5087;536;34;30914.86;15426.23;2026-06-05 12:47:42.993384
30750;2025-09-05;meta ads;Conversão|Promoção - Seguro|44497.74;3;TABLET;11;6451;287;37;7;2243.48;3170.45;2026-06-05 12:47:56.766138
48031;2025-07-09;META ADS;Leads|Conversão - Notebook|17121.39;11;CELULAR;2;63499;4826;766;40;6125.13;21127.72;2026-06-05 12:48:24.520849
2553;2025-09-29; GOOGLE ADS ;Conhecimento|Carrinho Abandonado - Smartphone|21790.31;9;Computador;1;65708;807;98;18;1308.32;11221.49;2026-06-05 12:47:12.836849
20293;2025-11-23;Linkedin Ads;Tráfego|Retenção - Notebook|32778.1;13;Celular;17;24285;908;186;47;4940.82;6913.18;2026-06-05 12:47:40.429008
16840;2025-05-05;META ADS;Conhecimento|Geração de Lead - Streaming|19528.65;18;CELULAR;9;25697;378;77;5;2565.56;5117.7;2026-06-05 12:47:35.209059
26804;2025-08-19;Email Marketing;Leads|Natal - Curso|23414.44;20; celular ;8;93407;1533;302;27;9607.37;16319.92;2026-06-05 12:47:50.512062
45919;2025-04-30;google ads;Conversão|Retenção - Consultoria|11597.52;17; celular ;17;46946;3506;843;139;27416.03;94596.31;2026-06-05 12:48:21.123874
27433;2025-03-05;Meta Ads;Leads|Geração de Lead - Notebook|29056.97;11;TABLET;18;18625;194;16;1;775.06;511.11;2026-06-05 12:47:51.610962
31369;2025-03-25;GoogleAds;Tráfego|Retenção - Smartphone|46353.04;4;TABLET;19;31614;1534;268;54;9348.92;65952.1;2026-06-05 12:47:57.735737
11574;2025-02-19; TikTok Ads ;Conversão|Conhecimento - Smartphone|27039.23;17;Tablet;5;92670;3322;810;195;11415.56;185340.12;2026-06-05 12:47:26.985144
33126;2025-04-13;google ads;Conversão|Carrinho Abandonado - E-commerce|23497.06;8;CELULAR;19;64620;4630;567;115;15128.27;32120.35;2026-06-05 12:48:00.435250
37551;2025-11-19;Email Marketing;Leads|Natal - Curso|23414.44;18; celular ;13;80766;4187;213;57;8567.5;66490.93;2026-06-05 12:48:07.496804
45741;2025-01-27;Google Ads;Conhecimento|Remarketing - Curso|15951.94;13;Tablet;17;78255;1620;242;27;2125.46;30236.3;2026-06-05 12:48:20.787906
25435;2025-04-02;GoogleAds;Conversão|Promoção - Seguro|44497.74;17;TABLET;13;12935;492;46;3;2021.25;1399.89;2026-06-05 12:47:48.430572
33433;2025-07-30;LinkedIn Ads;Conhecimento|Remarketing - Smartphone|27196.56;9;Tablet;19;15029;491;88;26;2122.29;8943.67;2026-06-05 12:48:00.916578
32911;2025-09-19;google ads;Conhecimento|Carrinho Abandonado - Smartphone|21790.31;5; celular ;2;71526;4927;1193;330;33003.59;382883.61;2026-06-05 12:48:00.117573
39230;2025-08-23;GoogleAds;Conversão|Promoção - Seguro|44497.74;10;CELULAR;7;22527;694;89;10;526.15;13934.01;2026-06-05 12:48:10.668037
29991;2025-02-14;google ads;Conversão|Carrinho Abandonado - Seguro|49254.33;15;Tablet;10;44131;2355;142;32;16963.6;10281.02;2026-06-05 12:47:55.559169
13342;2025-04-27; GOOGLE ADS ;Leads|Geração de Lead - Seguro|45408.77;5; computador;14;27589;1564;367;46;2620.88;8851.91;2026-06-05 12:47:29.660701
11700;2025-11-25;GoogleAds;Conhecimento|Geração de Lead - E-commerce|17017.19;5;Computador;6;50620;2166;397;62;9795.06;31707.1;2026-06-05 12:47:27.174349
46722;2025-12-30;meta ads;Tráfego|Lançamento - Curso|14891.77;13;Tablet;22;1748;42;10;1;237.71;238.99;2026-06-05 12:48:22.450287
42973;2025-03-14; TikTok Ads ;Tráfego|Black Friday - Curso|34922.72;9;TABLET;20;58649;850;63;9;2442.1;1475.48;2026-06-05 12:48:16.592094
4462;2025-11-06;META ADS;Conhecimento|Geração de Lead - Notebook|10896.38;11; computador;4;61128;2179;313;72;5307.99;59077.1;2026-06-05 12:47:15.851139
18195;2025-03-09;Google Ads;Conhecimento|Conversão - Seguro|8170.15;19;CELULAR;20;82861;1162;240;50;7636.2;32865.37;2026-06-05 12:47:37.264785
28867;2025-10-19;GoogleAds;Conhecimento|Remarketing - Curso|15951.94;16;Celular;22;97129;2795;294;36;2811.32;4240.54;2026-06-05 12:47:53.876817
22357;2025-03-17;META ADS;Leads|Conversão - Streaming|36856.91;18;Tablet;14;77220;5640;285;15;15762.2;16737.27;2026-06-05 12:47:43.788816
35986;2025-08-16;Linkedin Ads;Conversão|Retenção - Streaming|21833.57;7;Tablet;8;9633;644;142;20;1017.18;19533.22;2026-06-05 12:48:05.075529
31430;2025-05-17;Google Ads;Leads|Conversão - Streaming|36856.91;16;CELULAR;10;24979;807;105;29;3505.98;43479.75;2026-06-05 12:47:57.834721
7310;2025-02-23;google ads;Conhecimento|Remarketing - Smartphone|27196.56;10;TABLET;14;18864;915;49;12;2977.89;7309.58;2026-06-05 12:47:20.219510
28860;2025-06-08;google ads;Leads|Geração de Lead - Seguro|45408.77;17;Tablet;17;26814;1305;250;23;2113.64;15936.23;2026-06-05 12:47:53.866820
31417;2025-08-04;google ads;Conversão|Carrinho Abandonado - Seguro|49254.33;4;CELULAR;1;25557;1859;425;25;3657.36;30548.7;2026-06-05 12:47:57.813494
14742;2025-03-12;meta ads;Leads|Natal - Curso|23414.44;2;CELULAR;18;52273;2717;173;29;3156.42;13344.74;2026-06-05 12:47:31.961154
29756;2025-02-10; TikTok Ads ;Leads|Natal - Curso|23414.44;20;Computador;17;63125;3983;530;149;16524.74;200780.41;2026-06-05 12:47:55.208095
41474;2025-06-01; TikTok Ads ;Conversão|Carrinho Abandonado - E-commerce|23497.06;19; celular ;13;67573;4809;493;71;7024.73;32999.4;2026-06-05 12:48:14.309814
20583;2025-03-15;LinkedIn Ads;Conhecimento|Carrinho Abandonado - Smartphone|21790.31;6;TABLET;15;19406;386;50;5;1978.11;872.03;2026-06-05 12:47:40.884595
3195;2025-01-28; TikTok Ads ;Conversão|Lançamento - Consultoria|19166.8;14;CELULAR;13;60744;1192;202;15;7959.19;5245.45;2026-06-05 12:47:13.854794
36753;2025-04-07; TikTok Ads ;Leads|Promoção - Curso|38158.69;20;Tablet;22;13769;167;33;2;1269.05;1526.39;2026-06-05 12:48:06.291713
33025;2025-06-21;LinkedIn Ads;Tráfego|Lançamento - Curso|14891.77;6; computador;5;2547;83;7;1;381.08;1341.87;2026-06-05 12:48:00.287015
32248;2025-12-21; TikTok Ads ;Conversão|Natal - Seguro|32105.21;10;Computador;23;5075;60;4;0;320.68;0.0;2026-06-05 12:47:59.079616
4954;2025-01-14;GoogleAds;Conhecimento|Geração de Lead - E-commerce|17017.19;12;Tablet;7;76169;1683;171;45;11414.87;23756.75;2026-06-05 12:47:16.609562
44865;2025-04-29;meta ads;Tráfego|Lançamento - Curso|14891.77;12;Computador;11;45612;847;194;28;4950.63;41586.5;2026-06-05 12:48:19.460220
1046;2025-08-23;Linkedin Ads;Conhecimento|Geração de Lead - Consultoria|47452.46;16; celular ;18;13569;329;78;9;1696.03;8332.66;2026-06-05 12:47:10.311437
9159;2025-04-22;google ads;Conhecimento|Remarketing - Curso|15951.94;16;CELULAR;15;43219;1152;265;47;7897.62;9117.96;2026-06-05 12:47:23.292320
7129;2025-02-20;email marketing;Tráfego|Promoção - Cartão|35278.57;7;TABLET;7;35651;2360;502;119;18272.8;25106.0;2026-06-05 12:47:19.938111
48189;2025-07-15;google ads;Leads|Conversão - Notebook|17121.39;9;Celular;9;55781;1507;253;56;11468.93;23318.69;2026-06-05 12:48:24.759696
31426;2025-02-03;Google Ads;Conhecimento|Conversão - Notebook|12948.76;20;Tablet;24;6106;171;9;1;724.22;422.55;2026-06-05 12:47:57.828957
47088;2025-01-11;Linkedin Ads;Conhecimento|Carrinho Abandonado - Smartphone|21790.31;15; computador;16;5961;179;28;3;1261.09;3295.77;2026-06-05 12:48:23.010686
22713;2025-03-01;meta ads;Conversão|Carrinho Abandonado - Seguro|49254.33;3;Computador;20;46931;3457;334;93;2287.58;73591.06;2026-06-05 12:47:44.332706
21810;2025-06-17;Email Marketing;Leads|Geração de Lead - Seguro|45408.77;16;Tablet;20;91715;4681;306;27;18277.88;9705.17;2026-06-05 12:47:42.891501
16425;2025-06-20;Google Ads;Tráfego|Promoção - Cartão|35278.57;10;CELULAR;17;2534;127;10;0;265.75;0.0;2026-06-05 12:47:34.576852
17762;2025-05-23;Meta Ads;Conversão|Retenção - Curso|31124.09;15; celular ;5;55991;3811;862;226;5280.6;273116.31;2026-06-05 12:47:36.607700
18883;2025-09-02;Linkedin Ads;Leads|Lançamento - Streaming|40234.48;11;TABLET;16;81982;2519;316;89;17982.51;86009.29;2026-06-05 12:47:38.300988
5657;2025-06-05;GoogleAds;Conversão|Lançamento - Consultoria|19166.8;9;Celular;1;24408;737;152;44;2188.52;63286.56;2026-06-05 12:47:17.698380
37656;2025-08-07;LinkedIn Ads;Conversão|Retenção - Streaming|21833.57;4;Computador;12;75410;2450;342;47;19215.21;48341.14;2026-06-05 12:48:07.654981
19196;2025-04-03; GOOGLE ADS ;Leads|Promoção - Cartão|27992.3;14;Tablet;6;91347;6460;387;51;13529.32;55764.91;2026-06-05 12:47:38.765819
11204;2025-07-11;google ads;Conversão|Natal - E-commerce|8437.21;10;TABLET;19;42191;2927;208;15;3388.53;4714.06;2026-06-05 12:47:26.435423
34706;2025-11-12;meta ads;Conversão|Carrinho Abandonado - Seguro|49254.33;11;Celular;16;41325;3093;355;96;18722.24;112784.43;2026-06-05 12:48:03.044906
6044;2025-02-28;Google Ads;Leads|Promoção - Curso|38158.69;17;Tablet;4;17998;1415;227;37;4708.8;55191.2;2026-06-05 12:47:18.301759
47310;2025-01-27; TikTok Ads ;Conhecimento|Conversão - Notebook|12948.76;20;TABLET;14;10048;410;92;8;3253.49;5496.32;2026-06-05 12:48:23.406093
18110;2025-03-24;meta ads;Tráfego|Black Friday - Curso|34922.72;7;Computador;18;62931;4955;346;39;25305.1;15843.28;2026-06-05 12:47:37.137678
44610;2025-03-19;META ADS;Conversão|Retenção - Consultoria|24657.03;6;Celular;21;43022;1563;152;14;7302.72;13713.85;2026-06-05 12:48:19.083706
9269;2025-06-12;META ADS;Conversão|Retenção - Consultoria|24657.03;2;CELULAR;5;27675;2084;237;44;5483.2;32405.31;2026-06-05 12:47:23.470680
5655;2025-06-25;google ads;Conversão|Natal - Seguro|32105.21;2;Computador;11;20164;20469;4490;1011;100346.53;528108.09;2026-06-05 12:47:17.695537
22645;2025-05-26;meta ads;Tráfego|Conversão - Smartphone|19676.25;16; computador;21;41038;3244;646;47;17147.48;30459.83;2026-06-05 12:47:44.227138
5517;2025-03-29;META ADS;Conhecimento|Promoção - Streaming|22865.73;2; celular ;20;38353;734;138;30;2441.68;25715.52;2026-06-05 12:47:17.488530
15789;2025-04-22;META ADS;Conhecimento|Geração de Lead - Notebook|10896.38;5;Computador;9;49159;3528;561;61;7232.29;80973.54;2026-06-05 12:47:33.594691
6288;2025-04-18;email marketing;Conversão|Retenção - Streaming|21833.57;7;TABLET;15;54840;1803;172;19;14403.26;16536.32;2026-06-05 12:47:18.672900
41198;2025-01-06;META ADS;Tráfego|Conversão - Smartphone|19676.25;12;TABLET;1;76183;3397;235;48;15594.25;25874.42;2026-06-05 12:48:13.882594
14950;2025-06-24;meta ads;Conversão|Natal - Seguro|32105.21;15; celular ;6;83132;4282;880;82;14057.87;65632.14;2026-06-05 12:47:32.285483
48149;2025-05-27;LinkedIn Ads;Conversão|Conhecimento - Smartphone|27039.23;12;CELULAR;10;94067;6664;1222;271;20502.42;238918.66;2026-06-05 12:48:24.700170
36372;2025-09-09;Google Ads;Leads|Promoção - Cartão|27992.3;5;Celular;2;68377;4479;637;98;7766.81;57510.32;2026-06-05 12:48:05.704447
29351;2025-09-07;Email Marketing;Conversão|Retenção - Consultoria|11597.52;15;TABLET;21;8927;311;29;6;1790.08;6605.12;2026-06-05 12:47:54.606201
